what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1289924765617
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289924765632
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289924765726
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289924765773
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289924765820
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289924766023
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1289924766085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289924771414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289924793336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289924796149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289924853556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1289924853587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289924856009
